,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
100Ag,1055.3,100Ag
100Cd,1518.64,100Cd
100In,2857.78,100In
100Kr,17239.11,100Kr
100Nb,2414.0,100Nb
100Rb,13269.11,100Rb
100Rh,40.92,100Rh
100Sn,2857.78,100Sn
100Sr,9001.1,100Sr
100Tc,1317.28574968,100Tc
100Y,6470.1,100Y
100Zr,3528.1,100Zr
101Ag,844.51,101Ag
101Cd,1790.89,101Cd
101In,1790.89,101In
101Mo,995.88,101Mo
101Nb,2792.88,101Nb
101Pd,17.33,101Pd
101Rb,15450.97,101Rb
101Sn,1790.89,101Sn
101Sr,11419.6,101Sr
101Tc,473.57,101Tc
101Y,7622.93,101Y
101Zr,4988.030000000001,101Zr
102Ag,0.0,102Ag
102Cd,59.84,102Cd
102In,59.84,102In
102Mo,2284.95,102Mo
102Nb,4232.95,102Nb
102Rb,16207.09,102Rb
102Rh,78.8048,102Rh
102Sn,1207.8,102Sn
102Sr,11589.09,102Sr
102Tc,1935.0,102Tc
102Y,8572.09,102Y
102Zr,5476.09,102Zr
103Ag,172.35,103Ag
103Cd,508.5,103Cd
103In,2069.7,103In
103Mo,2290.37,103Mo
103Nb,4401.37,103Nb
103Rb,17846.260000000002,103Rb
103Ru,63.64,103Ru
103Sn,2333.99,103Sn
103Sr,13484.259999999998,103Sr
103Tc,1040.37,103Tc
103Y,9790.259999999998,103Y
103Zr,6756.26,103Zr
104Ag,76.9,104Ag
104Cd,76.9,104Cd
104In,573.74,104In
104Mo,1783.24,104Mo
104Nb,4068.4,104Nb
104Rh,980.46795007695,104Rh
104Sn,1202.96,104Sn
104Sr,12734.4,104Sr
104Tc,931.0,104Tc
104Y,9304.4,104Y
104Zr,5810.4,104Zr
105Ag,0.0,105Ag
105Cd,206.28,105Cd
105In,1230.38,105In
105Mo,2375.78,105Mo
105Nb,4874.780000000001,105Nb
105Rh,152.18,105Rh
105Ru,562.78,105Ru
105Sn,2255.95,105Sn
105Sr,14739.38,105Sr
105Tc,1326.78,105Tc
105Y,10861.78,105Y
105Zr,7536.780000000001,105Zr
106Ag,495.43308,106Ag
106In,1297.56,106In
106Mo,4089.24,106Mo
106Nb,7402.24,106Nb
106Rh,1410.03,106Rh
106Ru,1420.06,106Ru
